Deduped.author.names,Author.Keywords
"Rubio-Sanchez, M.",RadViz
"Rubio-Sanchez, M.",Star coordinates
"Rubio-Sanchez, M.",Exploratory data analysis
"Rubio-Sanchez, M.",Cluster analysis
"Rubio-Sanchez, M.",Classification
"Rubio-Sanchez, M.",Outlier detection
"Raya, L.",RadViz
"Raya, L.",Star coordinates
"Raya, L.",Exploratory data analysis
"Raya, L.",Cluster analysis
"Raya, L.",Classification
"Raya, L.",Outlier detection
"Diaz, F.",RadViz
"Diaz, F.",Star coordinates
"Diaz, F.",Exploratory data analysis
"Diaz, F.",Cluster analysis
"Diaz, F.",Classification
"Diaz, F.",Outlier detection
"Sanchez, A.",RadViz
"Sanchez, A.",Star coordinates
"Sanchez, A.",Exploratory data analysis
"Sanchez, A.",Cluster analysis
"Sanchez, A.",Classification
"Sanchez, A.",Outlier detection
"Setlur, V.",linguistics
"Setlur, V.",natural language processing
"Setlur, V.",semantics
"Setlur, V.",color names
"Setlur, V.",categorical color
"Setlur, V.",Google n-grams
"Setlur, V.",WordNet
"Setlur, V.",XKCD
"Stone, M.C.",linguistics
"Stone, M.C.",natural language processing
"Stone, M.C.",semantics
"Stone, M.C.",color names
"Stone, M.C.",categorical color
"Stone, M.C.",Google n-grams
"Stone, M.C.",WordNet
"Stone, M.C.",XKCD
"Jansen, Y.",Data physicalization
"Jansen, Y.",physical visualization
"Jansen, Y.",psychophysics
"Jansen, Y.",experiment
"Jansen, Y.",physical variable
"Hornbaek, K.",Data physicalization
"Hornbaek, K.",physical visualization
"Hornbaek, K.",psychophysics
"Hornbaek, K.",experiment
"Hornbaek, K.",physical variable
"Simonetto, P.",Euler diagrams
"Simonetto, P.",Boundary Improvement
"Simonetto, P.",Force-Directed Approaches
"Archambault, D.",Euler diagrams
"Archambault, D.",Boundary Improvement
"Archambault, D.",Force-Directed Approaches
"Scheidegger, C.E.",Euler diagrams
"Scheidegger, C.E.",Boundary Improvement
"Scheidegger, C.E.",Force-Directed Approaches
"Byrne, L.",Visual Design
"Byrne, L.",Taxonomies
"Byrne, L.",Illustrative Visualization
"Byrne, L.",Design Methodologies
"Angus, D.",Visual Design
"Angus, D.",Taxonomies
"Angus, D.",Illustrative Visualization
"Angus, D.",Design Methodologies
"Wiles, J.",Visual Design
"Wiles, J.",Taxonomies
"Wiles, J.",Illustrative Visualization
"Wiles, J.",Design Methodologies
"Yalcin, M.A.",Multi-valued attributes
"Yalcin, M.A.",sets
"Yalcin, M.A.",visualization
"Yalcin, M.A.",set visualization
"Yalcin, M.A.",data exploration
"Yalcin, M.A.",interaction
"Yalcin, M.A.",design
"Yalcin, M.A.",scalability
"Elmqvist, N.",Multi-valued attributes
"Elmqvist, N.",sets
"Elmqvist, N.",visualization
"Elmqvist, N.",set visualization
"Elmqvist, N.",data exploration
"Elmqvist, N.",interaction
"Elmqvist, N.",design
"Elmqvist, N.",scalability
"Bederson, B.B.",Multi-valued attributes
"Bederson, B.B.",sets
"Bederson, B.B.",visualization
"Bederson, B.B.",set visualization
"Bederson, B.B.",data exploration
"Bederson, B.B.",interaction
"Bederson, B.B.",design
"Bederson, B.B.",scalability
Yong Wang,Visual Ambiguity
Yong Wang,Visualization
Yong Wang,Node-link diagram
Yong Wang,Graph layout
Yong Wang,Graph visualization
Qiaomu Shen,Visual Ambiguity
Qiaomu Shen,Visualization
Qiaomu Shen,Node-link diagram
Qiaomu Shen,Graph layout
Qiaomu Shen,Graph visualization
"Archambault, D.",Visual Ambiguity
"Archambault, D.",Visualization
"Archambault, D.",Node-link diagram
"Archambault, D.",Graph layout
"Archambault, D.",Graph visualization
Zhiguang Zhou,Visual Ambiguity
Zhiguang Zhou,Visualization
Zhiguang Zhou,Node-link diagram
Zhiguang Zhou,Graph layout
Zhiguang Zhou,Graph visualization
Min Zhu,Visual Ambiguity
Min Zhu,Visualization
Min Zhu,Node-link diagram
Min Zhu,Graph layout
Min Zhu,Graph visualization
Sixiao Yang,Visual Ambiguity
Sixiao Yang,Visualization
Sixiao Yang,Node-link diagram
Sixiao Yang,Graph layout
Sixiao Yang,Graph visualization
Huamin Qu,Visual Ambiguity
Huamin Qu,Visualization
Huamin Qu,Node-link diagram
Huamin Qu,Graph layout
Huamin Qu,Graph visualization
"Anand, A.",Small multiple displays
"Anand, A.",Visualization selection
"Anand, A.",Multidimensional data
"Talbot, J.",Small multiple displays
"Talbot, J.",Visualization selection
"Talbot, J.",Multidimensional data
"Borkin, M.",Information visualization
"Borkin, M.",memorability
"Borkin, M.",recognition
"Borkin, M.",recall
"Borkin, M.",eye-tracking study
"Bylinskii, Z.",Information visualization
"Bylinskii, Z.",memorability
"Bylinskii, Z.",recognition
"Bylinskii, Z.",recall
"Bylinskii, Z.",eye-tracking study
Nam Wook Kim,Information visualization
Nam Wook Kim,memorability
Nam Wook Kim,recognition
Nam Wook Kim,recall
Nam Wook Kim,eye-tracking study
"Bainbridge, C.M.",Information visualization
"Bainbridge, C.M.",memorability
"Bainbridge, C.M.",recognition
"Bainbridge, C.M.",recall
"Bainbridge, C.M.",eye-tracking study
"Yeh, C.S.",Information visualization
"Yeh, C.S.",memorability
"Yeh, C.S.",recognition
"Yeh, C.S.",recall
"Yeh, C.S.",eye-tracking study
"Borkin, D.",Information visualization
"Borkin, D.",memorability
"Borkin, D.",recognition
"Borkin, D.",recall
"Borkin, D.",eye-tracking study
"Pfister, H.",Information visualization
"Pfister, H.",memorability
"Pfister, H.",recognition
"Pfister, H.",recall
"Pfister, H.",eye-tracking study
"Oliva, A.",Information visualization
"Oliva, A.",memorability
"Oliva, A.",recognition
"Oliva, A.",recall
"Oliva, A.",eye-tracking study
"Kay, M.",Weber's law
"Kay, M.",perception of correlation
"Kay, M.",log transformation
"Kay, M.",censored regression
"Kay, M.",Bayesian methods
"Heer, J.",Weber's law
"Heer, J.",perception of correlation
"Heer, J.",log transformation
"Heer, J.",censored regression
"Heer, J.",Bayesian methods
"Johansson, J.",Survey
"Johansson, J.",evaluation
"Johansson, J.",guidelines
"Johansson, J.",parallel coordinates
"Forsell, C.",Survey
"Forsell, C.",evaluation
"Forsell, C.",guidelines
"Forsell, C.",parallel coordinates
"Strobelt, H.",Text highlighting techniques
"Strobelt, H.",visual document analytics
"Strobelt, H.",text annotation
"Strobelt, H.",crowdsourced study
"Oelke, D.",Text highlighting techniques
"Oelke, D.",visual document analytics
"Oelke, D.",text annotation
"Oelke, D.",crowdsourced study
Bum Chul Kwon,Text highlighting techniques
Bum Chul Kwon,visual document analytics
Bum Chul Kwon,text annotation
Bum Chul Kwon,crowdsourced study
"Schreck, T.",Text highlighting techniques
"Schreck, T.",visual document analytics
"Schreck, T.",text annotation
"Schreck, T.",crowdsourced study
"Pfister, H.",Text highlighting techniques
"Pfister, H.",visual document analytics
"Pfister, H.",text annotation
"Pfister, H.",crowdsourced study
"Yoghourdjian, V.",Network visualization
"Yoghourdjian, V.",graph drawing
"Yoghourdjian, V.",power graph
"Yoghourdjian, V.",optimization
"Yoghourdjian, V.",large-neighborhood search
"Dwyer, T.",Network visualization
"Dwyer, T.",graph drawing
"Dwyer, T.",power graph
"Dwyer, T.",optimization
"Dwyer, T.",large-neighborhood search
"Gange, G.",Network visualization
"Gange, G.",graph drawing
"Gange, G.",power graph
"Gange, G.",optimization
"Gange, G.",large-neighborhood search
"Kieffer, S.",Network visualization
"Kieffer, S.",graph drawing
"Kieffer, S.",power graph
"Kieffer, S.",optimization
"Kieffer, S.",large-neighborhood search
"Klein, K.",Network visualization
"Klein, K.",graph drawing
"Klein, K.",power graph
"Klein, K.",optimization
"Klein, K.",large-neighborhood search
"Marriott, K.",Network visualization
"Marriott, K.",graph drawing
"Marriott, K.",power graph
"Marriott, K.",optimization
"Marriott, K.",large-neighborhood search
"Kieffer, S.",Graph layout
"Kieffer, S.",orthogonal layout
"Kieffer, S.",automatic layout algorithms
"Kieffer, S.",user-generated layout
"Kieffer, S.",graph-drawing aesthetics
"Dwyer, T.",Graph layout
"Dwyer, T.",orthogonal layout
"Dwyer, T.",automatic layout algorithms
"Dwyer, T.",user-generated layout
"Dwyer, T.",graph-drawing aesthetics
"Marriott, K.",Graph layout
"Marriott, K.",orthogonal layout
"Marriott, K.",automatic layout algorithms
"Marriott, K.",user-generated layout
"Marriott, K.",graph-drawing aesthetics
"Wybrow, M.",Graph layout
"Wybrow, M.",orthogonal layout
"Wybrow, M.",automatic layout algorithms
"Wybrow, M.",user-generated layout
"Wybrow, M.",graph-drawing aesthetics
Sukwon Lee,Sensemaking model
Sukwon Lee,information visualization
Sukwon Lee,novice users
Sukwon Lee,grounded theory
Sukwon Lee,qualitative study
Sung-Hee Kim,Sensemaking model
Sung-Hee Kim,information visualization
Sung-Hee Kim,novice users
Sung-Hee Kim,grounded theory
Sung-Hee Kim,qualitative study
Ya-Hsin Hung,Sensemaking model
Ya-Hsin Hung,information visualization
Ya-Hsin Hung,novice users
Ya-Hsin Hung,grounded theory
Ya-Hsin Hung,qualitative study
"Lam, H.",Sensemaking model
"Lam, H.",information visualization
"Lam, H.",novice users
"Lam, H.",grounded theory
"Lam, H.",qualitative study
Youn-ah Kang,Sensemaking model
Youn-ah Kang,information visualization
Youn-ah Kang,novice users
Youn-ah Kang,grounded theory
Youn-ah Kang,qualitative study
Ji Soo Yi,Sensemaking model
Ji Soo Yi,information visualization
Ji Soo Yi,novice users
Ji Soo Yi,grounded theory
Ji Soo Yi,qualitative study
"Ottley, A.",Bayesian Reasoning
"Ottley, A.",Visualization
"Ottley, A.",Spatial Ability
"Ottley, A.",Individual Differences
"Peck, E.M.",Bayesian Reasoning
"Peck, E.M.",Visualization
"Peck, E.M.",Spatial Ability
"Peck, E.M.",Individual Differences
"Harrison, L.",Bayesian Reasoning
"Harrison, L.",Visualization
"Harrison, L.",Spatial Ability
"Harrison, L.",Individual Differences
"Afergan, D.",Bayesian Reasoning
"Afergan, D.",Visualization
"Afergan, D.",Spatial Ability
"Afergan, D.",Individual Differences
"Ziemkiewicz, C.",Bayesian Reasoning
