Deduped.author.names,Author.Keywords,Year
"Rubio-Sanchez, M.",RadViz,2015
"Rubio-Sanchez, M.",Star coordinates,2015
"Rubio-Sanchez, M.",Exploratory data analysis,2015
"Rubio-Sanchez, M.",Cluster analysis,2015
"Rubio-Sanchez, M.",Classification,2015
"Rubio-Sanchez, M.",Outlier detection,2015
"Raya, L.",RadViz,2015
"Raya, L.",Star coordinates,2015
"Raya, L.",Exploratory data analysis,2015
"Raya, L.",Cluster analysis,2015
"Raya, L.",Classification,2015
"Raya, L.",Outlier detection,2015
"Diaz, F.",RadViz,2015
"Diaz, F.",Star coordinates,2015
"Diaz, F.",Exploratory data analysis,2015
"Diaz, F.",Cluster analysis,2015
"Diaz, F.",Classification,2015
"Diaz, F.",Outlier detection,2015
"Sanchez, A.",RadViz,2015
"Sanchez, A.",Star coordinates,2015
"Sanchez, A.",Exploratory data analysis,2015
"Sanchez, A.",Cluster analysis,2015
"Sanchez, A.",Classification,2015
"Sanchez, A.",Outlier detection,2015
"Setlur, V.",linguistics,2015
"Setlur, V.",natural language processing,2015
"Setlur, V.",semantics,2015
"Setlur, V.",color names,2015
"Setlur, V.",categorical color,2015
"Setlur, V.",Google n-grams,2015
"Setlur, V.",WordNet,2015
"Setlur, V.",XKCD,2015
"Stone, M.C.",linguistics,2015
"Stone, M.C.",natural language processing,2015
"Stone, M.C.",semantics,2015
"Stone, M.C.",color names,2015
"Stone, M.C.",categorical color,2015
"Stone, M.C.",Google n-grams,2015
"Stone, M.C.",WordNet,2015
"Stone, M.C.",XKCD,2015
"Jansen, Y.",Data physicalization,2015
"Jansen, Y.",physical visualization,2015
"Jansen, Y.",psychophysics,2015
"Jansen, Y.",experiment,2015
"Jansen, Y.",physical variable,2015
"Hornbaek, K.",Data physicalization,2015
"Hornbaek, K.",physical visualization,2015
"Hornbaek, K.",psychophysics,2015
"Hornbaek, K.",experiment,2015
"Hornbaek, K.",physical variable,2015
"Simonetto, P.",Euler diagrams,2015
"Simonetto, P.",Boundary Improvement,2015
"Simonetto, P.",Force-Directed Approaches,2015
"Archambault, D.",Euler diagrams,2015
"Archambault, D.",Boundary Improvement,2015
"Archambault, D.",Force-Directed Approaches,2015
"Scheidegger, C.E.",Euler diagrams,2015
"Scheidegger, C.E.",Boundary Improvement,2015
"Scheidegger, C.E.",Force-Directed Approaches,2015
"Byrne, L.",Visual Design,2015
"Byrne, L.",Taxonomies,2015
"Byrne, L.",Illustrative Visualization,2015
"Byrne, L.",Design Methodologies,2015
"Angus, D.",Visual Design,2015
"Angus, D.",Taxonomies,2015
"Angus, D.",Illustrative Visualization,2015
"Angus, D.",Design Methodologies,2015
"Wiles, J.",Visual Design,2015
